순번,시도본부,소방서,119안전센터명,주소,전화번호
1,서울소방재난본부,종로소방서,세종로,서울특별시 종로구 종로1길 28 (수송동),02-734-0119
2,서울소방재난본부,종로소방서,신교,서울특별시 종로구 자하문로 93 (신교동),02-736-0119
3,서울소방재난본부,종로소방서,종로,서울특별시 종로구 돈화문로 30 (묘동),02-764-0119
4,서울소방재난본부,종로소방서,연건,서울특별시 종로구 대학로 91 (연건동),02-762-0119
5,서울소방재난본부,종로소방서,신영,서울특별시 종로구 진흥로 477 (신영동),02-391-0119
6,서울소방재난본부,종로소방서,숭인,서울특별시 종로구 숭인동길 63 (숭인동),02-929-0921
7,서울소방재난본부,중부소방서_서울,무학,서울특별시 중구 퇴계로 394 (무학동),02-2252-3311
8,서울소방재난본부,중부소방서_서울,을지로,서울특별시 중구 을지로45길 43 (신당동),02-2235-0119
9,서울소방재난본부,중부소방서_서울,충무로,서울특별시 중구 충무로 11 (충무로3가),02-2265-0119
10,서울소방재난본부,중부소방서_서울,회현,서울특별시 중구 소공로 30 (회현동2가),02-775-0119
11,서울소방재난본부,중부소방서_서울,신당,서울특별시 중구 다산로8길 2 (신당동),02-2238-0698
12,서울소방재난본부,광진소방서,구의,서울특별시 광진구 광나루로 480 (구의동),02-447-1194
13,서울소방재난본부,광진소방서,능동,서울특별시 광진구 능동로 242 (능동),02-447-0119
14,서울소방재난본부,광진소방서,중곡,서울특별시 광진구 용마산로 150 (중곡동),02-453-2119
15,서울소방재난본부,성동소방서,행당(구 송정),서울특별시 성동구 살곶이길 331(행당동),02-2622-1605
16,서울소방재난본부,성동소방서,왕십리(구 행당),서울특별시 성동구 고산자로 249 (도선동),02-2622-1761
17,서울소방재난본부,성동소방서,성동_금호,서울특별시 성동구 난계로 19 (금호동1가),02-2622-1771
18,서울소방재난본부,성동소방서,성수,서울특별시 성동구 뚝섬로 452 (성수동2가),02-2622-1751
19,서울소방재난본부,용산소방서,한강로,서울특별시 용산구 한강대로 167 (한강로2가),02-793-0119
20,서울소방재난본부,용산소방서,이태원,서울특별시 용산구 이태원로 196 (이태원동),02-798-0119
21,서울소방재난본부,용산소방서,후암,서울특별시 용산구 후암로 34 (후암동),02-754-0119
22,서울소방재난본부,용산소방서,이촌,서울특별시 용산구 이촌로2가 1 (이촌동),02-712-0119
23,서울소방재난본부,용산소방서,서빙고,서울특별시 용산구 서빙고로67길 7(서빙고동),02-795-7119
24,서울소방재난본부,동대문소방서,동대문_장안,서울특별시 동대문구 장한로 34 (장안동),02-2245-0119
25,서울소방재난본부,동대문소방서,청량리,서울특별시 동대문구 왕산로 299 (청량리동),02-962-0119
26,서울소방재난본부,동대문소방서,전농,서울특별시 동대문구 황물로 3 (전농동),02-2215-0119
27,서울소방재난본부,동대문소방서,용두,서울특별시 동대문구 왕산로 76 (용두동),02-928-0119
28,서울소방재난본부,동대문소방서,휘경,서울특별시 동대문구 망우로 106 (휘경동),02-2213-0119
29,서울소방재난본부,중랑소방서,신내,서울특별시 중랑구 신내로 183 (신내동),02-3422-1196
30,서울소방재난본부,중랑소방서,면목,서울특별시 중랑구 동일로 475 (면목동),02-491-5119
31,서울소방재난본부,중랑소방서,망우,서울특별시 중랑구 용마산로 524 (망우동),02-493-7119
32,서울소방재난본부,중랑소방서,중화,서울특별시 중랑구 동일로 783 (중화동),02-496-1191
33,서울소방재난본부,영등포소방서,영등포,서울특별시 영등포구 문래로 197 (영등포동4가),02-2676-0119
34,서울소방재난본부,영등포소방서,여의도,서울특별시 영등포구 의사당대로 162 (여의도동),02-783-0119
35,서울소방재난본부,영등포소방서,당산,서울특별시 영등포구 양평로 70-1 (당산동6가),02-2633-0119
36,서울소방재난본부,영등포소방서,대림,서울특별시 영등포구 도림로 212 (신길동),02-846-0119
37,서울소방재난본부,영등포소방서,신길,서울특별시 영등포구 영등포로84길 31 (신길동),02-834-0119
38,서울소방재난본부,성북소방서,종암,서울특별시 성북구 종암로27길 3 (종암동),02-925-1119
39,서울소방재난본부,성북소방서,돈암,서울특별시 성북구 보문로 192 (삼선동4가),02-925-1158
40,서울소방재난본부,성북소방서,길음,서울특별시 성북구 정릉로 321 (길음동),02-987-0272
41,서울소방재난본부,성북소방서,장위,서울특별시 성북구 한천로 640 (장위동),02-917-0344
42,서울소방재난본부,도봉소방서,방학,서울특별시 도봉구 도봉로 666 (방학동),02-3492-9113
43,서울소방재난본부,도봉소방서,도봉,서울특별시 도봉구 도봉로 721 (방학동),02-3492-0119
44,서울소방재난본부,도봉소방서,창동,서울특별시 도봉구 해등로 25 (창동),02-998-9117
45,서울소방재난본부,도봉소방서,쌍문,서울특별시 도봉구 노해로 152 (쌍문동),02-996-0119
46,서울소방재난본부,노원소방서,하계,서울특별시 노원구 한글비석로1길 8 (하계동),02-972-1119
47,서울소방재난본부,노원소방서,상계,서울특별시 노원구 노원로26길 111 (상계동),02-936-0119
48,서울소방재난본부,노원소방서,공릉,서울특별시 노원구 화랑로 482 (공릉동),02-976-0119
49,서울소방재난본부,노원소방서,월계,서울특별시 노원구 월계로 323 (월계동),02-907-0119
50,서울소방재난본부,노원소방서,수락,서울특별시 노원구 동일로 1694 (상계동),02-937-6119
51,서울소방재난본부,은평소방서,진관,서울특별시 은평구 통일로 962(진관동),02-354-0119
52,서울소방재난본부,은평소방서,녹번,서울특별시 은평구 은평로 245 (녹번동),02-387-0119
53,서울소방재난본부,은평소방서,역촌,서울특별시 은평구 갈현로 80 (역촌동),02-352-2119
54,서울소방재난본부,은평소방서,수색,서울특별시 은평구 수색로 294 (수색동),02-376-0119
55,서울소방재난본부,서대문소방서,서대문_연희,서울특별시 서대문구 연희로 182 (연희동),02-336-0119
56,서울소방재난본부,서대문소방서,북가좌,서울특별시 서대문구 증가로 242 (북가좌동),02-372-0119
57,서울소방재난본부,서대문소방서,홍은,서울특별시 서대문구 홍은중앙로 83 (홍은동),02-379-9119
58,서울소방재난본부,서대문소방서,미근,서울특별시 서대문구 통일로 113 (미근동),02-3147-0119
59,서울소방재난본부,마포소방서,신수,서울특별시 마포구 창전로 76 (신수동),02-716--9121
60,서울소방재난본부,마포소방서,염리,서울특별시 마포구 토정로 37길 27 (염리동),02-713-0965
61,서울소방재난본부,마포소방서,서교,서울특별시 마포구 양화로 60 (서교동),02-3143-2119
62,서울소방재난본부,마포소방서,마포_성산,서울특별시 마포구 월드컵북로 240 (성산동),02-304-0119
63,서울소방재난본부,마포소방서,공덕,서울특별시 마포구 만리재옛길 82 (공덕동),02-3274-0976
64,서울소방재난본부,마포소방서,상암,서울특별시 마포구 월드컵북로 42길 34 (상암동),02-309-5119
65,서울소방재난본부,강남소방서,강남_삼성,서울특별시 강남구 테헤란로 629 (삼성동),02-567-0119
66,서울소방재난본부,강남소방서,영동,서울특별시 강남구 도산대로 320 (논현동),02-517-5119
67,서울소방재난본부,강남소방서,역삼,서울특별시 강남구 역삼로 236 (역삼동),02-557-0109
68,서울소방재난본부,강남소방서,수서,서울특별시 강남구 광평로31길 6 (수서동),02-445-9019
69,서울소방재난본부,강남소방서,개포,서울특별시 강남구 논현로 10길 19 (개포동),02-577-2540
70,서울소방재난본부,서초소방서,반포,서울특별시 서초구 사평대로 67 (반포동),02-534-0119
71,서울소방재난본부,서초소방서,방배,서울특별시 서초구 남부순환로 2155 (방배동),02-582-0119
72,서울소방재난본부,서초소방서,양재,서울특별시 서초구 동산로 9 (양재동),02-572-5523
73,서울소방재난본부,서초소방서,서초,서울특별시 서초구 효령로 400 (서초동),02-3473-0119
74,서울소방재난본부,서초소방서,잠원,서울특별시 서초구 서초중앙로29길 6 (반포동),02-532-7119
75,서울소방재난본부,서초소방서,우면,서울특별시 서초구 남부순환로340길 49 (서초동),02-522-6119
76,서울소방재난본부,관악소방서,관악,서울특별시 관악구 관악로 97 (봉천동),02-874-7119
77,서울소방재난본부,관악소방서,봉천,서울특별시 관악구 은천로 54 (봉천동),02-886-0119
78,서울소방재난본부,관악소방서,관악_신림,서울특별시 관악구 봉천로 202 (신림동),02-874-0119
79,서울소방재난본부,관악소방서,난곡,서울특별시 관악구 난곡로 243 (신림동),02-859-0119
80,서울소방재난본부,동작소방서,동작,서울특별시 동작구 여의대방로16길 55(신대방동),02-848-1088
81,서울소방재난본부,동작소방서,노량진,서울특별시 동작구 노량진로 187 (노량진동),02-813-0119
82,서울소방재난본부,동작소방서,상도,서울특별시 동작구 국사봉1길 17 (상도동),02-821-1119
83,서울소방재난본부,동작소방서,동작_백운,서울특별시 동작구 사당로 63 (상도동),02-817-0119
84,서울소방재난본부,강서소방서_서울,등촌,서울특별시 강서구 양천로 550 (등촌동),02-3662-9119
85,서울소방재난본부,강서소방서_서울,화곡,서울특별시 강서구 까치산로 49 (화곡동),02-2602-0119
86,서울소방재난본부,강서소방서_서울,발산,서울특별시 강서구 강서로 329 (내발산동),02-2663-0119
87,서울소방재난본부,강서소방서_서울,방화,서울특별시 강서구 금낭화로26길 10 (방화동),02-2665-3115
88,서울소방재난본부,강서소방서_서울,개화,서울특별시 강서구 개화동로19길 8 (개화동),02-2662-7119
89,서울소방재난본부,양천소방서,양천,서울특별시 양천구 목동서로 180 (목동),02-2643-4119
90,서울소방재난본부,양천소방서,양천_신정,서울특별시 양천구 신월로 268 (신정동),02-2603-0119
91,서울소방재난본부,양천소방서,목동,서울특별시 양천구 안양천로 1139 (목동),02-2249-0119
92,서울소방재난본부,양천소방서,양천_신월,서울특별시 양천구 남부순환로 448 (신월동),02-2691-4119
93,서울소방재난본부,양천소방서,신트리,서울특별시 양천구 신정로 238 (신정동),02-2691-1113
94,서울소방재난본부,강동소방서,성내,서울특별시 강동구 성내로 39 (성내동),02-470-1720
95,서울소방재난본부,강동소방서,천호,서울특별시 강동구 진황도로 37 (천호동),02-474-1721
96,서울소방재난본부,강동소방서,강동_고덕,서울특별시 강동구 양재대로156길 133 (고덕동),02-426-0431
97,서울소방재난본부,강동소방서,암사,서울특별시 강동구 올림픽로 815 (암사동),02-429-0427
98,서울소방재난본부,강동소방서,길동,서울특별시 강동구 천중로 215 (길동),02-487-6119
99,서울소방재난본부,송파소방서,마천,서울특별시 송파구 오금로51길 56 (마천동),02-3401-2119
100,서울소방재난본부,송파소방서,거여,서울특별시 송파구 마천로 329 (마천동),02-400-0119
101,서울소방재난본부,송파소방서,방이,서울특별시 송파구 강동대로 286 (방이동),02-409-0059
102,서울소방재난본부,송파소방서,잠실,서울특별시 송파구 석촌호수로 151 (잠실동),02-422-0119
103,서울소방재난본부,송파소방서,운동장,서울특별시 송파구 올림픽로 25 (잠실동),02-2203-2380
104,서울소방재난본부,송파소방서,가락,서울특별시 송파구 양재대로 932 (가락동),02-409-0045
105,서울소방재난본부,구로소방서,고일,서울특별시 구로구 경인로 408 (고척동),02-2619-0119
106,서울소방재난본부,구로소방서,수궁,서울특별시 구로구 오리로 1285 (궁동),02-2685-6119
107,서울소방재난본부,구로소방서,고척,서울특별시 구로구 고척로 195 (고척동),02-2618-3104
108,서울소방재난본부,구로소방서,구로,서울특별시 구로구 구로동로 175 (구로동),02-855-1119
109,서울소방재난본부,구로소방서,독산,서울특별시 금천구 시흥대로 386 (독산동),02-869-1119
110,서울소방재난본부,구로소방서,구로_시흥,서울특별시 금천구 시흥대로45길 31 (시흥동),02-806-1119
111,서울소방재난본부,구로소방서,신도림,서울특별시 구로구 경인로59길 57 (신도림동),02-2671-8119
112,서울소방재난본부,구로소방서,구로_공단,서울특별시 구로구 디지털로34길 56 (구로동),02-855-0119
113,서울소방재난본부,강북소방서_서울,번동,서울특별시 강북구 보건소길 2 (번동),02-6946-0250
114,서울소방재난본부,강북소방서_서울,우이,서울특별시 강북구 삼각산로 111 (수유동),02-998-9116
115,서울소방재난본부,강북소방서_서울,미아,서울특별시 강북구 도봉로 125 (미아동),02-983-9111
116,서울소방재난본부,강북소방서_서울,삼각산,서울특별시 강북구 솔샘로 208 (미아동),02-983-5119
117,부산소방안전본부,중부소방서_부산,중부(부산)_중앙,부산광역시 중구 중앙대로 110(중앙동4가),051-760-6111
118,부산소방안전본부,중부소방서_부산,부민,부산광역시 서구 임시수도기념로 21-4(부민동3가),051-760-6121
119,부산소방안전본부,중부소방서_부산,충무,부산광역시 서구 충무대로 186(남부민동),051-760-6131
120,부산소방안전본부,중부소방서_부산,창선,부산광역시 중구 대청로 68-1(부평동),051-760-6141
121,부산소방안전본부,중부소방서_부산,초량,부산광역시 동구 중앙대로 260번길 7-3(초량동),051-760-6151
122,부산소방안전본부,부산진소방서,범일,부산광역시 동구 범일로 115(범일동),051-760-6211
123,부산소방안전본부,부산진소방서,부전,부산광역시 부산진구 서전로 43(전포동),051-760-6221
124,부산소방안전본부,부산진소방서,수정,부산광역시 동구 중앙대로 383-1(수정동),051-760-6231
125,부산소방안전본부,부산진소방서,부산진_가야,부산광역시 부산진구 가야대로 627(가야동),051-760-6241
126,부산소방안전본부,부산진소방서,부암,부산광역시 부산진구 신천대로 282(부암동),051-760-6251
127,부산소방안전본부,부산진소방서,당감,부산광역시 부산진구 백양산로53번길 65(당감동),051-760-6261
128,부산소방안전본부,동래소방서,동래_연산,부산광역시 연제구 고분로 216(연산동),051-760-6311
129,부산소방안전본부,동래소방서,수안,부산광역시 동래구 명륜로45번길 7(수안동),051-760-6321
130,부산소방안전본부,동래소방서,온천,부산광역시 동래구 우장춘로 196(온천동),051-760-6331
131,부산소방안전본부,동래소방서,양정,부산광역시 부산진구 연제로9번길 42(양정동),051-760-6341
132,부산소방안전본부,동래소방서,동래_사직,부산광역시 동래구 체육공원로 74(사직동),051-760-6351
133,부산소방안전본부,북부소방서_부산,삼락,부산광역시 사상구 삼덕로 17(삼락동),051-760-6411
134,부산소방안전본부,북부소방서_부산,감전,부산광역시 사상구 가야대로 41(감전동),051-760-6421
135,부산소방안전본부,북부소방서_부산,구포,부산광역시 북구 만덕대로 31(덕천동),051-760-6431
136,부산소방안전본부,북부소방서_부산,화명,부산광역시 북구 금곡대로 184(화명동),051-760-6441
137,부산소방안전본부,북부소방서_부산,주례,부산광역시 사상구 양지로22번길 7(주례동),051-760-6451
138,부산소방안전본부,북부소방서_부산,모라,부산광역시 사상구 백양대로 950(모라동),051-760-6461
139,부산소방안전본부,북부소방서_부산,학장,부산광역시 사상구 학감대로 89(학장동),051-760-6471
140,부산소방안전본부,북부소방서_부산,금곡,부산광역시 북구 금곡대로616번길 151(금곡동),051-760-6491
141,부산소방안전본부,북부소방서_부산,만덕,부산광역시 북구 함박봉로 142(만덕동),051-760-6441
142,부산소방안전본부,사하소방서,사하_신평,부산광역시 사하구 장평로 270(신평동),051-760-6511
143,부산소방안전본부,사하소방서,괴정,부산광역시 사하구 낙동대로 262(괴정동),051-760-6521
144,부산소방안전본부,사하소방서,하단,부산광역시 사하구 낙동남로 1407(하단동),051-760-6431
145,부산소방안전본부,사하소방서,다대,부산광역시 사하구 다대로 622(다대동),051-760-6541
146,부산소방안전본부,사하소방서,감천,부산광역시 사하구 원양로 405(감천동),051-760-6551
147,부산소방안전본부,해운대소방서,우동,부산광역시 해운대구 해운대해변로 106(우동),051-760-6611
148,부산소방안전본부,해운대소방서,해운대_중동,부산광역시 해운대구 달맞이길 117번길 72(중동),051-760-6621
149,부산소방안전본부,해운대소방서,반여,부산광역시 해운대구 선수촌로 21번길 64(반여동),051-760-6631
150,부산소방안전본부,해운대소방서,좌동,부산광역시 해운대구 대천로 67번길 35(좌동),051-760-6641
151,부산소방안전본부,해운대소방서,센텀,부산광역시 해운대구 센텀동로 50(우동),051-760-6651
152,부산소방안전본부,금정소방서,금정_부곡,부산광역시 금정구 중앙대로 1789(부곡동),051-760-6711
153,부산소방안전본부,금정소방서,서동,부산광역시 동래구 반송로 331(명장동),051-760-6721
154,부산소방안전본부,금정소방서,금정_남산,부산광역시 금정구 두실로 46(남산동),051-760-6731
155,부산소방안전본부,금정소방서,반송,부산광역시 해운대구 아랫반송로 10(반송동),051-760-6741
156,부산소방안전본부,금정소방서,산성산악,부산광역시 금정구 산성로 396(금성동),051-760-6751
157,부산소방안전본부,남부소방서_부산,광안,부산광역시 수영구 광일로 64(광안동),051-760-6811
158,부산소방안전본부,남부소방서_부산,감만,부산광역시 남구 우암로 81(감만동),051-760-6821
159,부산소방안전본부,남부소방서_부산,대연,부산광역시 남구 수영로 279(대연동),051-760-6831
160,부산소방안전본부,남부소방서_부산,망미,부산광역시 수영구 과정로55번길 16(망미동),051-760-6841
161,부산소방안전본부,남부소방서_부산,용당,부산광역시 남구 신선로 398(용당동),051-760-6851
162,부산소방안전본부,강서소방서_부산,녹산,부산광역시 강서구 녹산산단361로 9(송정동),051-760-6011
163,부산소방안전본부,강서소방서_부산,신호,부산광역시 강서구 신호산단4로 62(신호동),051-760-6021
164,부산소방안전본부,강서소방서_부산,대저,부산광역시 강서구 대저로221번길 25(대저동),051-760-6031
165,부산소방안전본부,강서소방서_부산,강동,부산광역시 강서구 제도로 696(강동동),051-760-6041
166,부산소방안전본부,강서소방서_부산,지사,부산광역시 강서구 과학산단로 333번길 3(지사동),051-760-6051
167,부산소방안전본부,기장소방서,정관,부산광역시 기장군 정관면 용수로 7(정관읍),051-760-5411
168,부산소방안전본부,기장소방서,기장,부산광역시 기장군 기장읍 차성동로 5번길 16(기장읍),051-760-5421
169,부산소방안전본부,기장소방서,기장_송정,부산광역시 해운대구 송정중앙로 15번길 16(송정동),051-760-5431
170,부산소방안전본부,기장소방서,장안,부산광역시 기장군 장안산단 3로 43(장안읍),051-760-5441
171,부산소방안전본부,항만소방서,동삼,부산광역시 영도구 해양로 297(동삼동),051-760-6911
172,부산소방안전본부,항만소방서,영선,부산광역시 영도구 태종로 115(영선동),051-760-6921
173,부산소방안전본부,항만소방서,부두,부산광역시 동구 충장대로 236(좌천동),051-760-6931
174,부산소방안전본부,항만소방서,항만_청학,부산광역시 영도구 태종로 274(청학동),051-760-6941
175,대구소방안전본부,중부소방서_대구,남산,대구광역시 중구 달구벌대로 1926 ,053-601-4571
176,대구소방안전본부,중부소방서_대구,서문로,대구광역시 중구 경상감영길 45,053-601-4572
177,대구소방안전본부,중부소방서_대구,대신,대구광역시 중구 큰장로26길 45,053-601-4574
178,대구소방안전본부,중부소방서_대구,삼덕,대구광역시 중구 공평로 35 ,053-601-4575
179,대구소방안전본부,중부소방서_대구,명덕,대구광역시 남구 명덕로34길 22 ,053-601-4577
180,대구소방안전본부,중부소방서_대구,봉덕,대구광역시 남구 희망로3길 29 ,053-601-4573
181,대구소방안전본부,중부소방서_대구,대명,대구광역시 남구 현충로15길 21-81,053-601-4576
182,대구소방안전본부,중부소방서_대구,성명,대구광역시 남구 대명남로 12-1,053-601-4578
183,대구소방안전본부,동부소방서_대구,신천,대구광역시 동구 동대구로 507 ,053-605-5320
184,대구소방안전본부,동부소방서_대구,동촌,대구광역시 동구 해동로 180 ,053-605-5330
185,대구소방안전본부,동부소방서_대구,안심,대구광역시 동구 반야월로 291 ,053-605-5340
186,대구소방안전본부,동부소방서_대구,불로,대구광역시 동구 팔공로50길 19 ,053-605-5350
187,대구소방안전본부,동부소방서_대구,공산,대구광역시 동구 팔공산로 1579 ,053-605-5360
188,대구소방안전본부,동부소방서_대구,율하,대구광역시 동구 율하동로8길 5,053-605-5370
189,대구소방안전본부,서부소방서_대구,평리,대구광역시 서구 달서천로 186 ,053-320-4492
190,대구소방안전본부,서부소방서_대구,읍내,대구광역시 북구 칠곡중앙대로 570 ,053-321-0119
191,대구소방안전본부,서부소방서_대구,이현,대구광역시 서구 국채보상로 119 ,053-552-0119
192,대구소방안전본부,서부소방서_대구,비산,대구광역시 서구 달서로 206 ,053-566-0119
193,대구소방안전본부,서부소방서_대구,태전,대구광역시 북구 칠곡중앙대로 184 ,053-312-0119
194,대구소방안전본부,서부소방서_대구,내당,대구광역시 서구 서대구로3길 16 ,053-557-0119
195,대구소방안전본부,서부소방서_대구,동천,대구광역시 북구 구암로 155 ,053-325-0119
196,대구소방안전본부,북부소방서_대구,칠성,대구광역시 북구 칠성남로 112 ,053-350-5720
197,대구소방안전본부,북부소방서_대구,침산,대구광역시 북구 침산남로 149 ,053-350-5740
198,대구소방안전본부,북부소방서_대구,노원,대구광역시 북구 노원로 42 ,053-350-5750
199,대구소방안전본부,북부소방서_대구,대현,대구광역시 북구 대현로 105 ,053-350-5770 
200,대구소방안전본부,북부소방서_대구,복현,대구광역시 북구 동북로 245 ,053-350-5760
201,대구소방안전본부,북부소방서_대구,무태,대구광역시 북구 호국로43길 21 ,053-350-5780 
202,대구소방안전본부,북부소방서_대구,산격,대구광역시 북구 유통단지로8길 88 ,053-350-5790
203,대구소방안전본부,수성소방서,범물,대구광역시 수성구 청호로 87 ,053-780-5261
204,대구소방안전본부,수성소방서,만촌,대구광역시 수성구 달구벌대로 2658 ,053-752-0119
205,대구소방안전본부,수성소방서,황금,대구광역시 수성구 동대구로12길 41 ,053-764-0119
206,대구소방안전본부,수성소방서,상동,대구광역시 수성구 파동로51길 5 ,053-765-0119
207,대구소방안전본부,수성소방서,수성,대구광역시 수성구 들안로60길 30 ,053-741-2119 
208,대구소방안전본부,수성소방서,고산,대구광역시 수성구 고산로 105 ,053-791-7119
209,대구소방안전본부,수성소방서,무열로,대구광역시 수성구 무열로 139 ,053-741-0119
210,대구소방안전본부,달서소방서,월성,대구광역시 달서구 학산로 75 ,053-607-2281
211,대구소방안전본부,달서소방서,송현,대구광역시 달서구 월배로 262 ,053-632-0119
212,대구소방안전본부,달서소방서,본리,대구광역시 달서구 대명천로 134 ,053-625-0119 
213,대구소방안전본부,달서소방서,도원,대구광역시 달서구 도원로 8 ,053-633-9110
214,대구소방안전본부,달성소방서,현풍,대구광역시 달성군 현풍면 비슬로 480 ,053-670-5421 
215,대구소방안전본부,달성소방서,논공,대구광역시 달성군 논공읍 논공중앙로33길 5,053-615-5119 
216,대구소방안전본부,달성소방서,화원,대구광역시 달성군 화원읍 화암로 122 ,053-632-1119
217,대구소방안전본부,달성소방서,구지,대구광역시 달성군 구지면 달성2차로 111 ,053-616-0119
218,대구소방안전본부,강서소방서_대구,다사,대구광역시 달성군 다사읍 달구벌대로 920,053-601-5620
219,대구소방안전본부,강서소방서_대구,성서,대구광역시 달서구 성서로 357 ,053-601-5630
220,대구소방안전본부,강서소방서_대구,죽전,대구광역시 달서구 와룡로 222 ,053-601-5640
221,대구소방안전본부,강서소방서_대구,대천,대구광역시 달서구 달서대로58길 129 ,053-601-5650
222,대구소방안전본부,강서소방서_대구,매곡,대구광역시 달성군 다사읍 달구벌대로 753 ,053-601-5660
223,인천소방본부,중부소방서_인천,중부(인천)_중앙,인천광역시 중구 인중로 204,032-870-5180
224,인천소방본부,중부소방서_인천,중부(인천)_송현,인천광역시 동구 방축로 39,032-576-0119
225,인천소방본부,중부소방서_인천,송림,인천광역시 동구 샛골로 133,032-764-7119
226,인천소방본부,중부소방서_인천,만석,인천광역시 동구 제물량로 396,032-766-0119
227,인천소방본부,중부소방서_인천,연안,인천광역시 중구 축항대로 118,032-887-4689
228,인천소방본부,중부소방서_인천,영흥,인천광역시 영흥면 영흥로 283-32,032-882-3119
229,인천소방본부,중부소방서_인천,백령,인천광역시 옹진군 백령면 백령남로 30,032-836-0119
230,인천소방본부,남동소방서_인천,구월,인천광역시 남동구 인주대로 714-8,032-870-5221
231,인천소방본부,남동소방서_인천,만수,인천광역시 남동구 인주대로 845,032-870-5222
232,인천소방본부,남동소방서_인천,간석,인천광역시 남동구 백범로 248번길,032-870-5223
233,인천소방본부,남동소방서_인천,담방(구.서창),인천광역시 남동구 매소홀로 1049,032-870-5224
234,인천소방본부,부평소방서_인천,부평_갈산,인천광역시 부평구 부평대로 324,032-723-5353
235,인천소방본부,부평소방서_인천,부평,인천광역시 부평구 부평대로 8,032-723-5354
236,인천소방본부,부평소방서_인천,십정,인천광역시 부평구 경원대로 1111,032-723-5355
237,인천소방본부,부평소방서_인천,산곡,인천광역시 부평구 마장로 198,032-723-5356
238,인천소방본부,부평소방서_인천,부개,인천광역시 부평구 부개로 6,032-723-5357
239,인천소방본부,부평소방서_인천,부평_삼산,인천광역시 부평구 충선로 252,032-723-5358
240,인천소방본부,서부소방서_인천,서부(인천)_연희,인천광역시 서구 서곶로292(심곡동),032-723-5421
241,인천소방본부,서부소방서_인천,가좌,인천광역시 서구 가좌동 540-1,032-578-0119
242,인천소방본부,서부소방서_인천,서부(인천)_신현,인천광역시 서구 신현동 294,032-572-0119
243,인천소방본부,서부소방서_인천,석남,인천광역시 서구 석남로102(석남동),032-571-0119
244,인천소방본부,서부소방서_인천,검단,인천광역시 서구 왕길동 635-4,032-565-0119
245,인천소방본부,서부소방서_인천,검암,인천광역시 서구 검암동 606-9,032-568-7119
