순번,본부명,소방서,주소,전화번호
1,서울소방재난본부,종로소방서,서울특별시 종로구 종로1길 28(수송동),02-735-6119
2,서울소방재난본부,중부소방서,서울특별시 중구 퇴계로 394(무학동),02-2234-0119
3,서울소방재난본부,광진소방서,서울특별시 광진구 광나루로 480(구의동),02-457-0119
4,서울소방재난본부,용산소방서,서울특별시 용산구 한강대로 167(한강로2가),02-794-0119
5,서울소방재난본부,동대문소방서,서울특별시 동대문구 장한로 34(장안동),02-2249-0119
6,서울소방재난본부,중랑소방서,서울특별시 중랑구 신내로 183(신내동),02-3423-0119
7,서울소방재난본부,영등포소방서,서울특별시 영등포구 문래로 197(영등포동4가),02-2675-0119
8,서울소방재난본부,성북소방서,서울특별시 성북구 종암로 27길 3(종암동),02-921-0119
9,서울소방재난본부,강북소방서,서울특별시 강북구 보건소길 2(번동),02-6946-0119
10,서울소방재난본부,도봉소방서,서울특별시 도봉구 도봉로 666(방학동),02-3492-3437
11,서울소방재난본부,노원소방서,서울특별시 노원구 한글비석로 1길 8(하계동),02-977-0119
12,서울소방재난본부,은평소방서,서울특별시 은평구 통일로 962(진관동),02-355-0119
13,서울소방재난본부,서대문소방서,서울특별시 서대문구 연희로 182(연희동),02-3144-1190
14,서울소방재난본부,마포소방서,서울특별시 마포구 창전로 76(신수동),02-716-0604
15,서울소방재난본부,강남소방서,서울특별시 강남구 테헤란로 629(삼성동),02-553-3315
16,서울소방재난본부,서초소방서,서울특별시 서초구 사평대로 67(반포동),02-537-0119
17,서울소방재난본부,관악소방서,서울특별시 관악구 관악로 97(봉천동),02-874-8119
18,서울소방재난본부,동작소방서,서울특별시 동작구 여의대방로16길 55(신대방동),02-847-1190
19,서울소방재난본부,강서소방서,서울특별시 강서구 양천로 550(등촌동),02-3663-0119
20,서울소방재난본부,양천소방서,서울특별시 양천구 목동서로 180(목동),02-2655-1119
21,서울소방재난본부,강동소방서,서울특별시 강동구 성내로 39(성내동),02-470-0119
22,서울소방재난본부,송파소방서,서울특별시 송파구 오금로51길 56(마천동),02-403-2119
23,서울소방재난본부,구로소방서,서울특별시 구로구 경인로 408(고척동),02-2618-0119
24,서울소방재난본부,성동소방서,서울특별시 성동구 살곶이길 331(행당동),02-2622-1777
25,부산소방안전본부,중부소방서,부산광역시 중구 중앙대로 110(중앙동4가),051-760-4180
26,부산소방안전본부,부산진소방서,부산광역시 동구 범일로 115(범일동),051-760-4280
27,부산소방안전본부,동래소방서,부산광역시 연제구 고분로 216(연산동),051-760-4380
28,부산소방안전본부,북부소방서,부산광역시 사상구 삼덕로 17(삼락동),051-760-4480
29,부산소방안전본부,사하소방서,부산광역시 사하구 장평로 270(신평동),051-760-4500
30,부산소방안전본부,해운대소방서,부산광역시 해운대구 해운대해변로 106(우동),051-760-4600
31,부산소방안전본부,금정소방서,부산광역시 금정구 중앙대로 1789(부곡동),051-760-4780
32,부산소방안전본부,남부소방서,부산광역시 수영구 광일로 64(광안동),051-760-4880
33,부산소방안전본부,강서소방서,부산광역시 강서구 녹산산단361로 9(송정동),051-760-5080
34,부산소방안전본부,기장소방서,부산광역시 기장군 정관면 용수로 7,051-760-5100
35,부산소방안전본부,항만소방서,부산광역시 영도구 해양로 297(동삼동),051-760-4980
36,대구소방안전본부,중부소방서,대구광역시 중구 달구벌대로 1926,053-601-4517
37,대구소방안전본부,동부소방서,대구광역시 동구 동대구로 507,053-601-4317
38,대구소방안전본부,서부소방서,대구광역시 서구 달서천로 186,053-320-4499
39,대구소방안전본부,북부소방서,대구광역시 북구 칠성남로 112,053-350-4700
40,대구소방안전본부,수성소방서,대구광역시 수성구 청호로 87,053-780-5213
41,대구소방안전본부,달서소방서,대구광역시 달서구 학산로 75 ,053-607-2216
42,대구소방안전본부,달성소방서,대구광역시 달성군 현풍면 비슬로 480,053-670-5200
43,대구소방안전본부,강서소방서,대구광역시 달성군 다사읍 달구벌대로 920,053-601-4600
44,인천소방본부,중부소방서,인천시 중구 인중로 204(항동),032-870-5115
45,인천소방본부,남동소방서,인천시 부평구 부평대로 324(갈산동),032-870-5210
46,인천소방본부,부평소방서,인천시 남동구 인주대로 714(구월동),032-723-5310
47,인천소방본부,서부소방서,인천시 서구 서곶로 292(심곡동),032-723-5440
48,인천소방본부,공단소방서,인천시 남동구 남동서로 208(고잔동),032-723-5512
49,인천소방본부,계양소방서,인천시 계양구 장제로 774(계산동),032-650-5611
50,인천소방본부,남부소방서,인천시 남구 인하로 190(주안동),032-870-3216
51,인천소방본부,강화소방서,인천시 강화군 강화읍 남문로 23번길 11,032-930-5811
52,인천소방본부,공항소방서,인천시 중구 공항서로 512번길 464(운서동),032-727-6110
53,인천소방본부,송도소방서,인천시 연수구 송도동 208-1,032-810-6609
54,광주소방안전본부,동부소방서,광주광역시 동구 제봉로 210(대인동),062-613-8413
55,광주소방안전본부,서부소방서,광주광역시 서구 화운로 197(화정동),062-613-8513
56,광주소방안전본부,남부소방서,광주광역시 남구 송암로58번길 13(송하동),062-613-8613
57,광주소방안전본부,북부소방서,광주광역시 북구 서하로 290(오치동),062-613-8713
58,광주소방안전본부,광산소방서,광주광역시 광산구 하남산단1번로 13(하남동),062-613-8813
59,대전소방본부,중부소방서,대전시 동구 태전로 134,042-609-6013
60,대전소방본부,서부소방서,대전시 서구 갈마중로 15,042-609-6213
61,대전소방본부,동부소방서,대전시 대덕구 계족로 682,042-609-6413
62,대전소방본부,북부소방서,대전시 유성구 대덕대로 516,042-609-6613
63,대전소방본부,남부소방서,대전시 서구 북부서로 67,042-609-6813
64,울산소방본부,중부소방서,울산광역시 중구 종가로 205,052-210-4420
65,울산소방본부,남부소방서,울산광역시 남구 삼산중로 149,052-210-4720
66,울산소방본부,동부소방서,울산광역시 동구 꽃바위2가길 9,052-279-6320
67,울산소방본부,온산소방서,울산광역시 울주군 온산읍 덕신로 232,052-241-6620
68,세종소방본부,조치원소방서,세종특별자치시 조치원읍 세종로 2439,044-300-8119
69,세종소방본부,세종소방서,세종특별자치시 어진동 610,044-300-8454
70,경기재난안전본부,수원소방서,경기도 수원시 장안구 정자천로 189번길 12 ,031-8012-9212
71,경기재난안전본부,성남소방서,경기도 성남시 수정구 제일로 111,031-720-0212
72,경기재난안전본부,분당소방서,경기도 성남시 분당구 양현로 14,031-8018-3212
73,경기재난안전본부,부천소방서,경기도 부천시 원미구 신흥로 115 ,031-650-4212
74,경기재난안전본부,안양소방서,경기도 안양시 동안구 동안로 82 ,031-470-0212
75,경기재난안전본부,안산소방서,경기도 안산시 단원구 화랑로 407,031-470-7212
76,경기재난안전본부,용인소방서,경기도 용인시 처인구 명지로 75,031-8021-0212
77,경기재난안전본부,평택소방서,경기도 평택시 남부문예회관앞길 11,031-8053-6212
78,경기재난안전본부,송탄소방서,경기도 평택시 경기대로 1637 ,031-685-8212
79,경기재난안전본부,광명소방서,경기도 광명시 금하로 472,02-2610-3213
80,경기재난안전본부,시흥소방서,경기도 시흥시 정왕중앙로 64,031-310-0212
81,경기재난안전본부,군포소방서,경기도 군포시 당산로 310,031-479-8212
82,경기재난안전본부,화성소방서,경기도 화성시 향남읍 향남로 399,031-8012-6212
83,경기재난안전본부,이천소방서,경기도 이천시 경충대로 2739,031-645-5212
84,경기재난안전본부,김포소방서,경기도 김포시 감암로 111,031-980-4212
85,경기재난안전본부,광주소방서,경기도 광주시 초월읍 무들로 112,031-799-2212
86,경기재난안전본부,안성소방서,경기도 안성시 미양로 855,031-678-4212
87,경기재난안전본부,하남소방서,경기도 하남시 시청길 52,031-799-4212
88,경기재난안전본부,의왕소방서,경기도 의왕시 오봉로 9,031-596-0212
89,경기재난안전본부,오산소방서,경기도 오산시 청학로 67,031-8059-7212
90,경기재난안전본부,여주소방서,경기도 여주시 우암로 110 ,031-887-7212
91,경기재난안전본부,양평소방서,경기도 양평군 양평읍 경강로 2047,031-770-0212
92,경기재난안전본부,과천소방서,경기도 과천시 통영길 8,02-331-4212
93,경기북부소방재난본부,고양소방서,경기도 고양시 덕양구 고양대로 1342,031-931-0212
94,경기북부소방재난본부,일산소방서,경기도 고양시 일산동구 중앙로 1325,031-930-0212
95,경기북부소방재난본부,의정부소방서,경기도 의정부시 의정로 48 ,031-849-7111
96,경기북부소방재난본부,남양주소방서,경기도 남양주시 평내로 25 ,031-590-0212
97,경기북부소방재난본부,파주소방서,경기도 파주시 파주읍 통일로1564,031-956-9212
98,경기북부소방재난본부,구리소방서,경기도 구리시 아차산로 487번길 46,031-570-6214
99,경기북부소방재난본부,포천소방서,경기도 포천시 군내면 호국로 1538,031-538-5212
100,경기북부소방재난본부,양주소방서,경기도 양주시 백석읍 꿈나무로 156,031-849-8435
101,경기북부소방재난본부,동두천소방서,경기도 동두천시 지행로 6(지행동),031-830-5504
102,경기북부소방재난본부,가평소방서,경기도 가평군 가평읍 가화로36,031-580-0212
103,경기북부소방재난본부,연천소방서,경기도 연천군 전곡읍 평화로 892,031-830-0212
104,강원소방본부,춘천소방서,강원도 춘천시 후석로 446,033-241-0119
105,강원소방본부,원주소방서,강원도 원주시 남원로 487,033-763-4119
106,강원소방본부,강릉소방서,강원도 강릉시 선수촌로 64-28(홍제동),033-643-3119
107,강원소방본부,동해소방서,강원도 동해시 천곡로 120,033-533-2119
108,강원소방본부,태백소방서,강원도 태백시 태백로 1120,033-553-1119
109,강원소방본부,속초소방서,강원도 속초시 미시령로 3226,033-636-2119
110,강원소방본부,삼척소방서,강원도 삼척시 봉황로 101,033-572-9119
111,강원소방본부,홍천소방서,강원도 홍천군 홍천읍 공작산로 99,033-432-3119
112,강원소방본부,횡성소방서,강원도 횡성군 횡성읍 문예로 157,033-343-0119
113,강원소방본부,영월소방서,강원도 영월군 영월읍 영월로 1863,033-373-1119
114,강원소방본부,평창소방서,강원도 평창군 평창읍 살구실길 10,033-339-9118
115,강원소방본부,정선소방서,강원도 정선군 정선읍 녹송로 27,033-563-0119
116,강원소방본부,철원소방서,강원도 철원군 갈말읍 태봉로 1504,033-452-7119
117,강원소방본부,인제소방서,강원도 인제군 인제읍 비봉로 44번길 71,033-460-9211
118,강원소방본부,고성소방서,강원도 고성군 간성읍 수성로 37-11,033-681-1119
119,강원소방본부,양양소방서,강원도 양양군 양양읍 남대천로 33,033-671-0119
120,충북소방본부,청주동부소방서,충북 청주시 상당구 영운로 61,043-251-0114
121,충북소방본부,청주서부소방서,충북 청주시 흥덕구 풍산로 64,043-249-9113
122,충북소방본부,충주소방서,충북 충주시 도매시장4길 9번,043-841-3115
123,충북소방본부,제천소방서,충북 제천시 신죽하로 2164,043-641-7114
124,충북소방본부,보은소방서,충북 보은군 보은읍 남부로 4415,043-773-0113
125,충북소방본부,옥천소방서,충북 옥천군 옥천읍 중앙로 132,043-730-1813
126,충북소방본부,영동소방서,충북 영동군 영동읍 영동황간로 174,043-740-7013
127,충북소방본부,증평소방서,충북 증평군 충청대로 1789,043-830-0113
128,충북소방본부,진천소방서,충북 진천군 진천읍 진광로 93,043-539-8113
129,충북소방본부,괴산소방서,충북 괴산군 괴산읍 괴강로 69,043-760-0113
130,충북소방본부,단양소방서,충북 단양군 단양읍 별곡리 산28-4,043-422-0119
131,충북소방본부,음성소방서,충북 음성군 금왕읍 응천서길 11,043-880-0113
132,충남소방본부,천안동남소방서,충남 천안시 동남구 천안대로 580,041-570-0211
133,충남소방본부,천안서북소방서,충청남도 천안시 서북구 직산읍 4산단 2길 32번지,041-360-0212
134,충남소방본부,공주소방서,충남 공주시 봉황로 134,041-851-0211
135,충남소방본부,보령소방서,충남 보령시 대천로 122,041-930-0211
136,충남소방본부,아산소방서,충남 아산시 문화로 293 ,041-538-0211
137,충남소방본부,서산소방서,충남 서산시 호수공원14로 26-4,041-689-0211
138,충남소방본부,논산소방서,충남 논산시 대학로 17 ,041-730-0211
139,충남소방본부,계룡소방서,충남 계룡시 두마면 사계로 46,041-540-5212
140,충남소방본부,당진소방서,충남 당진시 역천로 838,041-350-5211
141,충남소방본부,금산소방서,충남 금산군 금산읍 삼풍로 2,041-750-1211
142,충남소방본부,부여소방서,충남 부여군 규암면 계백로 17,041-830-0211
143,충남소방본부,서천소방서,충남 서천군 장항읍 장항로 37,041-955-0211
144,충남소방본부,청양소방서,충남 청양군 청양읍 충절로 1187,041-940-7212
145,충남소방본부,홍성소방서,충남 홍성군 홍성읍 충절로 741 ,041-630-0212
146,충남소방본부,예산소방서,충남 예산군 오가면 오가중앙로 111,041-330-4211
147,충남소방본부,태안소방서,충남 태안군 태안읍 동백로 100 ,041-671-0211
148,전북소방본부,전주덕진소방서,전라북도 전주시 덕진구 백제대로 611,063-250-4251
149,전북소방본부,전주완산소방서,전라북도 전주시 완산구 거마평로 73,063-220-4251
150,전북소방본부,군산소방서,전라북도 군산시 번영로 308 ,063-450-0251
151,전북소방본부,익산소방서,전라북도 익산시 무왕로 1338,063-839-3251
152,전북소방본부,정읍소방서,전라북도 정읍시 서부산업도로 507-3,063-570-1251
153,전북소방본부,남원소방서,전라북도 남원시 요천로 1965,063-620-3751
154,전북소방본부,김제소방서,전라북도 김제시 벽성로 278,063-540-4251
155,전북소방본부,고창소방서,전라북도 고창군 고창읍 녹두로 1294,063-560-1251
156,전북소방본부,부안소방서,전라북도 부안군 행안면 변산로 86,063-580-1251
157,전북소방본부,무진장소방서,전라북도 장수군 장계면 육십령로 136,063-350-6251
158,전남소방본부,목포소방서,전남 목포시 삼향천로 110,061-280-0900
159,전남소방본부,여수소방서,전남 여수시 망마로 20,061-680-0900
160,전남소방본부,순천소방서,전남 순천시 서면 삼산로 281,061-750-0900
161,전남소방본부,나주소방서,전남 나주시 예향로 4201,061-330-0900
162,전남소방본부,광양소방서,전남 광양시 중마중앙로 109,061-798-0900
163,전남소방본부,담양소방서,전남 담양군 담양읍 추성로 1232,061-380-0900
164,전남소방본부,고흥소방서,전남 고흥군 풍양면 고흥로 1330,061-840-0900
165,전남소방본부,보성소방서,전남 보성군 벌교읍 녹색로 5247,061-859-0900
166,전남소방본부,화순소방서,전남 화순군 화순읍 학포로 2750,061-379-0900
167,전남소방본부,강진소방서,전남 강진군 군동면 중앙로 223,061-430-0900
168,전남소방본부,해남소방서,전남 해남군 해남읍 교육청길 82,061-530-0900
169,전남소방본부,영암소방서,전남 영암군 삼호읍 나불로 192,061-460-0900
170,전남소방본부,무안소방서,전남 무안군 무안읍 공항골 133-9,061-450-0900
171,전남소방본부,함평소방서,전남 함평군 대동면 학동로386,061-338-0900
172,전남소방본부,영광소방서,전남 영광군 영광읍 함영로 3508,061-350-0900
173,경북소방본부,포항북부소방서,경북 포항시 북구 중앙로 332,054-260-2130
174,경북소방본부,포항남부소방서,경북 포항시 남구 동해안로 5890,054-284-4117
175,경북소방본부,경주소방서,경북 경주시 알천남로 276,054-778-0512
176,경북소방본부,김천소방서,경북 김천시 황산로 67,054-436-1119
177,경북소방본부,안동소방서 ,경북 안동시 육사로 301,054-855-8119
178,경북소방본부,구미소방서,경북 구미시 수출대로 112,054-461-1119
179,경북소방본부,영주소방서,경북 영주시 문수면 적서로 448번길 17,054-632-1190
180,경북소방본부,영천소방서,경북 영천시 호국로 187,054-336-8000
181,경북소방본부,상주소방서,경북 상주시 상산로 322,054-530-3714
182,경북소방본부,문경소방서,경북 문경시 중앙로 305,054-559-1813
183,경북소방본부,경산소방서,경북 경산시 김유신로 12,053-811-1119
184,경북소방본부,의성소방서,경북 의성군 봉양면 경북대로 4741,054-830-7712
185,경북소방본부,영덕소방서,경북 영덕군 영덕읍 경동로 8401,054-730-1512
186,경북소방본부,청도소방서,경북 청도군 청도읍 중앙로 192-34,054-370-8212
187,경북소방본부,고령소방서,경북 고령군 고령읍 벽화길 18,054-954-4119
188,경북소방본부,성주소방서,경북 성주군 성주읍 주산로 193,054-933-5119
189,경북소방본부,칠곡소방서,경북 칠곡군 기산면 칠곡대로 1216,054-976-7001
190,경북소방본부,울진소방서 ,경북 울진군 울진읍 울진북로 508,054-780-1312
191,경남소방본부,진주소방서,경남 진주시 동진로 249,055-760-9212
192,경남소방본부,통영소방서,경남 통영시 광도면 죽림4로 49,055-640-9212
193,경남소방본부,사천소방서,경남 사천시 남일로 29,055-830-9212
194,경남소방본부,김해동부소방서,경남 김해시 김해대로 2507,055-320-9212
195,경남소방본부,김해서부소방서,경남 김해시 장유로 341,055-344-9212
196,경남소방본부,밀양소방서,경남 밀양시 밀양대로 1760,055-350-9212
197,경남소방본부,거제소방서,경남 거제시 진목로 1,055-689-9212
198,경남소방본부,양산소방서,경남 양산시 물금읍 황산로 719,055-379-9212
199,경남소방본부,의령소방서,경남 의령군 의령읍 남산로 7-12,055-570-9212
200,경남소방본부,함안소방서,경남 함안군 가야읍 선왕길 59,055-580-9212
201,경남소방본부,창녕소방서,경남 창녕군 대지면 우포2로 1097,055-259-9212
202,경남소방본부,고성소방서,경남 고성군 고성읍 남해안대로 2670,055-670-9212
203,경남소방본부,남해소방서,경남 남해군 남해읍 스포츠로 81,055-860-9212
204,경남소방본부,하동소방서,경남 하동군 금성면 금성로 15,055-880-9212
205,경남소방본부,산청소방서,경남 산청군 산청읍 물안실로 8,055-970-9212
206,경남소방본부,함양소방서,경남 함양군 함양읍 함양로 1179,055-960-9212
207,경남소방본부,거창소방서,경남 거창군 거창읍 거함대로 3324,055-940-9212
208,경남소방본부,합천소방서,경남 합천군 합천읍 인덕로 2453,055-930-9212
209,제주소방본부,제주소방서,제주특별자치도 제주시 중앙로 342(이도이동),064-729-0134
210,제주소방본부,서귀포소방서,제주특별자치도 서귀포시 동홍로 31(동홍동),064-730-7133
211,제주소방본부,서부소방서,제주특별자치도 제주시 한림읍 한림중앙로 150,064-795-0134
212,제주소방본부,동부소방서,제주특별자치도 서귀포시 성산읍 일주동로 4120번길 7,064-780-9133
213,창원소방본부,창원소방본부(진해소방서),경상남도 창원시 진해구 백구로 72,055-548-9212
214,창원소방본부,창원소방서,경상남도 창원시 의창구 상남로 165,055-211-9212
215,창원소방본부,마산소방서,경상남도 창원시 마산합포구 제2부두로 55,055-249-9212
