"공종별(1)",공종별(2),공종별(3),2006. 01,2006. 02,2006. 03,2006. 04,2006. 05,2006. 06,2006. 07,2006. 08,2006. 09,2006. 10,2006. 11,2006. 12,2007. 01,2007. 02,2007. 03,2007. 04,2007. 05,2007. 06,2007. 07,2007. 08,2007. 09,2007. 10,2007. 11,2007. 12,2008. 01,2008. 02,2008. 03,2008. 04,2008. 05,2008. 06,2008. 07,2008. 08,2008. 09,2008. 10,2008. 11,2008. 12,2009. 01,2009. 02,2009. 03,2009. 04,2009. 05,2009. 06,2009. 07,2009. 08,2009. 09,2009. 10,2009. 11,2009. 12,2010. 01,2010. 02,2010. 03,2010. 04,2010. 05,2010. 06,2010. 07,2010. 08,2010. 09,2010. 10,2010. 11,2010. 12,2011. 01,2011. 02,2011. 03,2011. 04,2011. 05,2011. 06,2011. 07,2011. 08,2011. 09,2011. 10,2011. 11,2011. 12,2012. 01,2012. 02,2012. 03,2012. 04,2012. 05,2012. 06,2012. 07,2012. 08,2012. 09,2012. 10,2012. 11,2012. 12,2013. 01,2013. 02,2013. 03,2013. 04,2013. 05,2013. 06,2013. 07,2013. 08,2013. 09,2013. 10,2013. 11,2013. 12,2014. 01,2014. 02,2014. 03,2014. 04,2014. 05,2014. 06,2014. 07,2014. 08,2014. 09,2014. 10,2014. 11,2014. 12,2015. 01,2015. 02,2015. 03,2015. 04,2015. 05,2015. 06,2015. 07,2015. 08,2015. 09,2015. 10,2015. 11,2015. 12,2016. 01,2016. 02,2016. 03,2016. 04,2016. 05,2016. 06,2016. 07,2016. 08,2016. 09,2016. 10,2016. 11,2016. 12,2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11
"합계",소계,소계,65735,55469,73083,64977,85998,105635,84876,71439,113363,65377,105192,182040,75083,73468,95387,93166,87763,134104,76842,81553,105003,123857,141677,191215,66557,69776,99213,94327,113893,107464,66856,76224,67694,97222,95088,246537,62229,61624,85272,87673,82520,128390,63997,52623,102546,114429,155450,190388,73030,61542,73466,81891,98595,118249,86851,48942,85487,55998,88396,159851,57756,50955,89905,86490,84665,129900,63540,85489,86805,80957,105348,185199,79151,91904,83464,77113,85191,131331,75358,60864,72613,65503,84469,108099,43779,56099,65271,63953,74128,88284,67412,59679,72550,94919,83469,143526,69427,77752,76464,91150,79354,102404,81835,94400,95804,89165,73466,143443,92119,80846,144021,108505,154956,158650,103388,97783,204074,119967,152872,162656,78815,110447,132017,120303,109717,139118,147473,153809,132507,168156,134385,222010,99647,136392,104599,158022,138305,144907,97985,144577,130687,93467,131559,225135,125445,95013,117597,108491,142152,125521,125386,105678,127234,117065,131458,224237,94616,85927,159783,140188,111384,128926,103292,89985,152749,159253,152972
"합계",건축,소계,50701,34252,50318,51384,68401,83383,70992,54046,91511,49099,78224,107049,55902,55183,58666,68370,61114,98202,50245,59416,80776,97028,100494,131794,57785,50768,68113,75670,74032,75574,43168,38771,43487,54418,57073,149414,33198,23600,48758,27012,45904,51654,39277,39666,48694,58743,103428,125721,50841,32933,31313,51995,71151,73401,45718,32341,56354,40713,58250,73481,34162,28989,56617,60510,63200,79448,32530,60198,62725,54754,74097,111684,55570,39010,52906,52857,65096,68440,45471,47484,53516,48304,58961,70617,23923,38317,42879,39415,40344,65174,52776,40849,48913,66184,58496,96760,38066,39714,47147,57873,57689,75872,63367,81760,71288,66140,49507,98944,66448,44831,105221,79889,122491,100163,83760,81613,142638,95314,108246,94317,54729,87796,96131,97379,85388,106326,113428,113528,106868,131233,109921,164072,75665,82251,71148,117788,98452,104481,78017,109631,107829,73023,99440,166439,63427,61503,94233,91115,96967,93142,76304,73677,85635,94213,102163,148980,60709,58543,97398,110080,83136,93849,82255,63863,91174,127834,112015
"합계",건축,주거용,26110,21362,35334,34741,40077,57736,50627,29271,69045,32973,57885,77602,36438,33967,26384,44417,38861,75993,22083,34714,59426,69938,64778,74485,35607,34434,47369,43558,36180,38941,19299,18948,17615,28526,40743,85353,22389,11109,23150,10315,25501,27775,20986,25524,30571,40781,56516,96162,27213,13486,12466,30493,36315,35910,25269,13613,36695,15774,28259,40646,17871,12943,24864,32149,24313,37899,13296,34421,36750,33991,38317,80241,38261,17515,20344,31906,27952,37355,18505,31455,32363,23305,29604,34388,8853,16025,14088,19815,14397,35024,29715,15448,23228,41962,31050,43307,23311,15323,19226,35563,25745,42708,29133,56109,41314,40783,18733,62915,39828,23710,77364,46008,63161,56609,52192,54900,85469,65323,68328,43937,29249,47697,57341,63817,50702,61696,67903,70998,74502,78627,71336,85603,47527,48693,38083,54008,61525,61390,45762,72762,63859,28298,54939,107897,32612,24065,55264,44333,49713,49152,34358,45643,50136,48174,44530,86978,33938,26626,58844,63549,44902,43325,36577,33227,48410,77674,58077
"합계",건축,비주거용,24591,12890,14984,16643,28324,25648,20365,24775,22466,16126,20338,29447,19465,21216,32282,23952,22254,22209,28161,24701,21351,27090,35716,57309,22177,16335,20744,32111,37851,36633,23869,19823,25872,25892,16330,64061,10810,12491,25608,16697,20404,23879,18291,14143,18123,17962,46912,29559,23628,19447,18847,21501,34836,37492,20449,18728,19659,24940,29991,32835,16291,16046,31753,28361,38887,41549,19235,25777,25975,20762,35780,31443,17309,21495,32561,20951,37144,31084,26966,16029,21153,24999,29357,36229,15070,22292,28791,19600,25946,30151,23061,25401,25685,24222,27446,53453,14755,24391,27920,22310,31943,33164,34234,25651,29975,25357,30775,36029,26621,21121,27857,33882,59330,43554,31568,26713,57168,29990,39919,50380,25480,40098,38790,33562,34686,44629,45525,42529,32366,52607,38586,78469,28138,33558,33065,63780,36927,43091,32255,36870,43970,44724,44501,58541,30815,37438,38968,46782,47254,43991,41946,28035,35499,46039,57633,62002,26771,31916,38554,46531,38233,50525,45678,30636,42764,50160,53938
"공공",소계,소계,12743,19962,20558,18404,23836,23101,16428,14342,30588,23998,36827,54404,18594,21876,28784,25239,24356,24048,22000,22235,23404,40298,47624,72429,18774,22998,40080,24918,41390,26276,21523,25100,25283,33246,40805,98094,31639,36625,46324,66436,49993,86851,34755,21738,40117,51736,57635,61026,25964,30634,43510,27706,25997,46427,46201,18124,21068,17479,26907,52351,17130,19007,21955,22092,26251,38467,23047,20110,37274,28541,36693,75681,23122,25991,23111,22542,17943,39667,29298,18820,23155,25573,27792,63763,19056,20246,26416,25795,24932,33762,22485,24326,27455,24092,33258,79879,33266,43774,39996,32143,31357,36429,21324,22290,27504,21910,24881,72432,29119,31988,40276,34418,42715,55954,25940,25315,19194,27953,44040,70416,29438,30454,38756,20871,30351,37213,45637,48283,30406,38842,37522,86333,30167,39069,30221,31810,34179,53924,26446,40024,30143,17077,35993,102985,19455,30865,23176,26178,37806,34957,27410,28666,32259,27167,39573,95935,33478,28257,34428,28746,25130,34546,26837,28811,37936,27699,41406
"공공",건축,소계,2153,3690,3756,8821,12104,10679,6795,4097,12555,11645,17634,14834,4579,6130,7105,9740,9238,7751,7498,8793,10673,21760,24453,33846,12708,8937,18432,15108,13275,12369,9246,9875,9031,18062,17553,40356,7271,5714,16658,12138,16293,17013,14905,10851,8783,9780,17552,20095,7076,9297,7874,8197,10607,19373,13237,8070,6972,8834,5255,20081,6420,3033,10726,7084,11464,13637,6504,6749,23883,9957,16008,31961,11278,4609,6653,7355,5565,17461,9094,9418,14779,15392,12164,37992,6983,6462,9925,5854,10922,13347,11437,10494,12403,10784,15353,47105,6653,9505,13175,7591,17147,17949,8133,12891,7998,8484,12324,40115,5361,7414,11378,9002,14336,9251,10162,15810,5281,9592,13437,29687,10133,15300,17168,5111,11285,14362,20839,27229,14201,9388,18800,37776,11745,23568,9635,8259,11709,17311,9975,14161,13171,8251,13071,55885,7592,6506,9077,10934,13605,16411,12152,13803,11162,12876,17079,42904,12527,9115,10912,9094,8753,11480,14163,17756,14201,10897,20222
"공공",건축,주거용,522,1256,1354,4352,3725,5822,3351,619,5236,4367,12649,7963,1512,3327,3696,5824,5703,4121,2835,4056,5845,15490,8611,14680,10309,5537,14089,5653,6101,2484,4953,4433,2499,6417,8100,22889,3459,1343,5975,5452,9913,6473,5844,7084,3758,7004,11331,6147,3233,1538,3247,4343,3933,8190,6780,1428,2164,1094,1180,10251,2199,509,2479,1631,2292,3673,913,3521,18257,4863,9513,19780,7978,1934,373,2471,247,8989,1193,5217,8910,2631,2223,22289,2906,667,885,388,2384,4055,3392,1465,4003,3256,6710,20470,865,1746,2558,1902,1366,8327,854,5903,1590,1666,5399,20401,393,474,3689,3398,3097,1590,4191,11022,818,2260,6851,13831,4610,8684,10142,1801,2436,3603,10507,13901,2899,2528,7858,20870,5610,12570,3521,1201,1880,6740,1931,8497,6592,1738,2270,34500,1850,874,1582,4435,4765,8850,4358,8415,6121,5379,7809,26483,6430,1628,3304,2403,2211,2237,6055,11131,4152,689,9514
"공공",건축,비주거용,1631,2434,2402,4469,8379,4857,3444,3478,7319,7278,4985,6871,3068,2803,3409,3916,3535,3630,4663,4737,4828,6270,15842,19165,2399,3400,4343,9455,7174,9885,4293,5442,6532,11645,9453,17467,3813,4371,10683,6686,6380,10539,9061,3766,5025,2777,6221,13948,3843,7759,4627,3854,6674,11183,6457,6643,4808,7740,4075,9830,4221,2525,8247,5453,9172,9964,5591,3228,5626,5094,6495,12181,3300,2675,6280,4884,5318,8471,7901,4201,5869,12761,9941,15703,4077,5795,9040,5467,8537,9292,8045,9030,8400,7528,8643,26635,5788,7758,10617,5689,15780,9622,7279,6989,6408,6818,6925,19714,4968,6941,7688,5604,11238,7661,5971,4787,4463,7332,6586,15856,5523,6616,7026,3311,8848,10759,10332,13329,11303,6860,10942,16906,6135,10997,6115,7058,9829,10571,8044,5664,6579,6513,10801,21385,5741,5632,7495,6500,8839,7561,7794,5388,5041,7497,9269,16421,6097,7487,7608,6691,6542,9243,8108,6625,10049,10208,10708
"민간",소계,소계,52992,35507,52525,46573,62162,82534,68448,57097,82775,41379,68365,127636,56489,51592,66603,67927,63407,110056,54842,59319,81599,83558,94052,118786,47783,46777,59133,69409,72503,81188,45333,51124,42411,63976,54283,148443,30590,24999,38948,21237,32527,41539,29242,30885,62429,62693,97815,129362,47066,30909,29956,54185,72597,71822,40649,30819,64419,38520,61489,107500,40626,31948,67950,64398,58413,91434,40493,65379,49530,52417,68655,109519,56030,65913,60353,54571,67248,91664,46060,42044,49457,39931,56677,44336,24723,35853,38855,38158,49195,54522,44927,35353,45096,70827,50211,63647,36162,33978,36467,59007,47997,65975,60511,72110,68300,67256,48586,71012,63000,48858,103745,74087,112241,102696,77448,72468,184879,92014,108831,92240,49377,79993,93261,99433,79366,101905,101836,105526,102101,129314,96862,135676,69481,97324,74377,126212,104127,90984,71539,104553,100544,76390,95566,122150,105990,64149,94421,82313,104346,90564,97976,77011,94975,89899,91885,128303,61139,57670,125355,111442,86254,94380,76455,61174,114813,131554,111566
"민간",건축,소계,48548,30562,46562,42563,56297,72705,64197,49948,78956,37454,60590,92215,51323,49053,51561,58630,51877,90451,42746,50623,70104,75268,76041,97948,45077,41832,49682,60561,60757,63204,33922,28896,34456,36357,39520,109058,25927,17887,32100,14874,29611,34641,24372,28816,39911,48963,85876,105626,43765,23636,23439,43797,60545,54028,32481,24270,49382,31879,52995,53400,27742,25956,45891,53425,51735,65811,26026,53449,38842,44797,58089,79723,44292,34401,46253,45502,59530,50979,36377,38066,38737,32911,46796,32625,16940,31855,32954,33561,29422,51827,41339,30355,36510,55400,43144,49655,31412,30210,33972,50282,40542,57923,55234,68869,63291,57656,37183,58829,61088,37416,93843,70888,108155,90912,73598,65803,137357,85722,94809,64630,44596,72495,78963,92267,74104,91964,92589,86299,92667,121845,91121,126296,63920,58684,61512,109529,86743,87170,68042,95470,94658,64772,86369,110554,55835,54998,85156,80181,83362,76731,64152,59874,74472,81337,85085,106076,48182,49428,86486,100985,74382,82370,68092,46107,76973,116937,91793
"민간",건축,주거용,25588,20106,33979,30389,36351,51913,47276,28652,63809,28606,45236,69639,34926,30640,22688,38593,33158,71872,19248,30659,53581,54448,56166,59804,25299,28897,33280,37905,30079,36456,14346,14515,15116,22109,32643,62463,18930,9767,17175,4862,15588,21301,15142,18439,26812,33777,45185,90016,23980,11948,9219,26150,32382,27720,18489,12185,34531,14680,27079,30394,15672,12435,22385,30517,22021,34225,12382,30900,18493,29129,28804,60462,30282,15581,19971,29435,27705,28366,17312,26238,23453,20674,27381,12099,5947,15358,13203,19427,12013,30968,26323,13984,19225,38706,24340,22837,22446,13577,16668,33660,24379,34380,28279,50207,39724,39118,13334,42514,39435,23236,73675,42610,60064,55019,48001,43878,84652,63063,61477,30106,24640,39013,47199,62016,48266,58093,57396,57098,71604,76098,63477,64734,41918,36122,34562,52806,59645,54651,43831,64265,57267,26561,52669,73397,30761,23192,53682,39898,44948,40301,30000,37227,44015,42795,36720,60495,27508,24999,55539,61146,42691,41087,30522,22096,44258,76985,48563
"민간",건축,비주거용,22960,10456,12582,12174,19945,20791,16921,21297,15147,8848,15353,22576,16397,18413,28873,20037,18718,18579,23498,19964,16523,20820,19875,38144,19778,12935,16402,22656,30677,26748,19577,14381,19340,14247,6877,46595,6997,8120,14925,10011,14023,13340,9230,10376,13099,15186,40691,15611,17199,11688,14220,17647,28163,26308,13992,12085,14851,17199,25916,23005,12070,13521,23506,22908,29715,31586,13644,22549,20349,15668,29285,19262,14009,18820,26282,16067,31826,22613,19065,11829,15284,12238,19416,20526,10993,16497,19751,14133,17408,20859,15016,16371,17285,16694,18804,26818,8966,16633,17304,16622,16163,23542,26955,18662,23567,18538,23849,16315,21653,14180,20168,28278,48091,35893,25597,21926,52705,22659,33333,34524,19956,33482,31764,30251,25838,33870,35193,29201,21063,45747,27644,61562,22003,22561,26950,56722,27098,32520,24211,31206,37390,38211,33699,37156,25074,31806,31473,40283,38415,36430,34153,22647,30458,38542,48364,45581,20674,24429,30947,39839,31691,41282,37571,24011,32715,39952,43230
